epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,557.4,1.10672,0.76221,1.0641,0.15981,0.1661,0.10294,0.03103,2.74023,2.62917,1.57564,0.000474881,0.000474881,0.000474881
2,1095.3,1.14096,0.79443,1.07894,0.0571,0.53157,0.08704,0.0264,2.78063,3.12187,1.60192,0.00093238,0.00093238,0.00093238
3,1617.35,1.16399,0.82247,1.09208,0.10921,0.15776,0.07136,0.02011,2.93937,2.69536,1.70442,0.00137102,0.00137102,0.00137102
4,2137.76,1.16605,0.82107,1.09498,0.13785,0.31599,0.11823,0.03592,2.72506,3.2157,1.65474,0.00134412,0.00134412,0.00134412
5,2647.03,1.16296,0.81832,1.09704,0.15002,0.20569,0.09534,0.02949,2.93407,3.00619,1.65283,0.00131582,0.00131582,0.00131582
6,3158.51,1.14788,0.80237,1.09012,0.10095,0.22982,0.06201,0.01529,3.19463,3.17647,1.85678,0.00128753,0.00128753,0.00128753
7,3679.43,1.13571,0.78771,1.08579,0.05579,0.46818,0.07547,0.02309,2.81689,3.387,1.71043,0.00125923,0.00125923,0.00125923
8,4211.6,1.12755,0.77941,1.08011,0.16495,0.1077,0.11698,0.03858,2.59651,2.74279,1.53898,0.00123094,0.00123094,0.00123094
9,4753.38,1.12421,0.77004,1.0775,0.0746,0.42264,0.08232,0.02416,2.95694,3.55526,1.77638,0.00120265,0.00120265,0.00120265
10,5290.93,1.10178,0.74969,1.0654,0.15353,0.13377,0.12398,0.03968,2.65633,2.49628,1.63233,0.00117435,0.00117435,0.00117435
11,5832.31,1.08635,0.7374,1.06329,0.11612,0.13578,0.08722,0.0239,2.80364,2.61959,1.58809,0.00114606,0.00114606,0.00114606
12,6382.61,1.09008,0.74305,1.05975,0.19743,0.11172,0.11258,0.03511,2.8468,3.10477,1.74434,0.00111776,0.00111776,0.00111776
13,6927.44,1.08392,0.73787,1.06053,0.07628,0.37512,0.10439,0.03368,2.74707,3.06207,1.56694,0.00108947,0.00108947,0.00108947
14,7452.48,1.06425,0.72151,1.04994,0.13864,0.13653,0.09009,0.02876,2.92277,3.06016,1.81135,0.00106118,0.00106118,0.00106118
15,7990.27,1.0613,0.71173,1.04926,0.17642,0.20499,0.12651,0.03846,2.78975,2.14104,1.66015,0.00103288,0.00103288,0.00103288
16,8537.12,1.04876,0.7038,1.04375,0.14544,0.14012,0.09694,0.03048,2.84197,2.97407,1.70431,0.00100459,0.00100459,0.00100459
17,9071.81,1.04044,0.69294,1.03875,0.17325,0.1806,0.13573,0.04068,2.60778,2.31058,1.52757,0.000976293,0.000976293,0.000976293
18,9625.08,1.03804,0.70172,1.04254,0.154,0.10146,0.11856,0.03964,2.74341,2.76307,1.63447,0.000947999,0.000947999,0.000947999
19,10177.8,1.03223,0.68807,1.03634,0.17845,0.19199,0.12105,0.03853,2.74652,2.63492,1.65851,0.000919704,0.000919704,0.000919704
