epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5834.48,1.11643,0.66327,0.99778,0.25047,0.26535,0.22524,0.08721,1.03198,246.91,0.76708,0.00333313,0.00333313,0.00333313
2,11522.8,1.14165,0.65034,1.00796,0.21244,0.26343,0.19453,0.06888,1.06802,222.944,0.76756,0.00653447,0.00653447,0.00653447
3,17181.6,1.17815,0.68753,1.0295,0.23509,0.23593,0.20879,0.07364,1.08731,211.411,0.82605,0.00960381,0.00960381,0.00960381
4,22853.7,1.17391,0.68225,1.03033,0.22766,0.24105,0.20835,0.07846,1.07786,215.951,0.84721,0.009406,0.009406,0.009406
5,28567.5,1.13753,0.64515,1.01567,0.22076,0.25575,0.20335,0.07744,1.04491,233.067,0.82658,0.009208,0.009208,0.009208
6,34278.4,1.12032,0.62615,1.00744,0.22542,0.25256,0.20061,0.07115,1.06654,253.936,0.8415,0.00901,0.00901,0.00901
7,39948.1,1.1064,0.61169,1.00108,0.24636,0.24965,0.21471,0.07846,1.05814,259.603,0.83642,0.008812,0.008812,0.008812
